Country,Year,Net-Migration,Deaths - Conflict and terrorism,GDP per capita,Unemployment rate,Political stability index (-2.5 weak; 2.5 strong),"Life expectancy, in years",Annual average income
Australia,2014,402690,0.017425948227581804,43547.1974836868,6.08,1.03,82.3,48408.66412
Australia,2015,380358,0.01288275652784452,43923.2582693466,6.05,0.88,82.4,48012.17702
Australia,2016,371439,0,44493.4808943831,5.71,1.05,82.45,48034.72174
Australia,2017,448160,0,44648.7099113362,5.59,0.89,82.5,47621.48406
Austria,2014,154111,0,44320.5020125474,6.08,1.03,82.3,44573.73526
Austria,2015,236199,0,44304.967756787,6.05,0.88,82.4,44832.69184
Austria,2016,138793,0,44464.3502683082,5.71,1.05,82.45,45306.35805
Austria,2017,99078,0,45436.6858219914,5.59,0.89,82.5,45257.74345
Belgium,2014,82676,0.03586056417274506,41360.3955755286,5.98,0.18,72.97,46737.75158
Belgium,2015,137351,0,41708.2123401731,5.91,0.11,73.62,46386.89714
Belgium,2016,108583,0.6212364665742176,42083.6443038217,5.84,0.14,73.83,46237.02635
Belgium,2017,121729,0,42658.57617009,5.65,-0.05,74.13,46045.12875
Canada,2014,520350,0.02000048003582301,43079.1425247165,6.91,1.18,81.8,43358.5997
Canada,2015,543293,0,43149.4758370305,6.91,1.27,81.9,43591.57924
Canada,2016,592465,0.0028036948970363187,43238.2596047198,7,1.26,81.9,42536.09791
Canada,2017,572690,0,44017.5909063335,6.34,1.1,81.95,42939.91106
Chile,2014,166896,0.00573508443363293,22195.2743713617,6.66,0.45,79.5,26803.54588
Chile,2015,203661,0,22516.6078575125,6.51,0.43,79.65,26759.21876
Chile,2016,270890,0,22614.3936667162,6.74,0.41,79.78,27655.34315
Czech Republic,2014,44853,0.056866283679642235,29119.6166119074,6.11,0.99,78.82,20758.59257
Czech Republic,2015,33128,0,30605.4205211471,5.05,0.98,78.58,21326.90318
Czech Republic,2016,42682,0,31338.8752118175,3.95,0.98,79.03,22052.63849
Czech Republic,2017,57905,0,32605.9063265661,2.89,1,78.98,22965.65288
Denmark,2014,37086,0,45057.0741699595,6.59,0.95,80.7,47402.06221
Denmark,2015,54873,0.035287889694914934,45458.697148831,6.17,0.9,80.7,48235.22872
Denmark,2016,34151,0.017542326114277924,45991.2247756847,6.18,0.87,80.85,48978.78833
Denmark,2017,14664,0,46682.5147204669,5.74,0.87,81.1,48703.02811
Estonia,2014,2221,0,27113.6859213723,7.35,0.78,77.03,20088.04903
Estonia,2015,10247,0,27549.5813697378,6.19,0.62,77.59,20858.37522
Estonia,2016,9163,0,28109.81704489,6.76,0.67,77.64,21975.25322
Estonia,2017,11134,0,29481.2518067978,5.76,0.65,78.09,22577.5657
Finland,2014,36350,0.018282780901318574,39017.5372069548,8.66,1.28,81.18,38473.89323
Finland,2015,29467,0,38941.7636030551,9.38,1.04,81.48,38819.38319
Finland,2016,39589,0,39659.1660392991,8.82,1,81.43,39132.34915
Finland,2017,34087,0,40585.7210349228,8.64,1.08,81.63,38983.66345
France,2014,502022,0.004619800934851339,37523.7275771828,10.29,0.3,82.72,38544.87283
France,2015,483207,0.45228918948714764,37766.3741116872,10.36,0.11,82.32,38921.17461
France,2016,489737,0.27794755752352507,38062.6397284874,10.06,-0.1,82.52,39356.02662
France,2017,489389,0,38605.6708967878,9.4,0.28,82.53,39577.42831
Germany,2014,1134445,0.0012196057115509194,43560.6192440775,4.98,0.93,81.09,41838.94193
Germany,2015,2281160,0.0036426861520858418,43937.9471317278,4.62,0.7,80.64,42750.78914
Germany,2016,1273072,0.0467956964658329,44431.8228379944,4.12,0.68,80.99,43351.57918
Germany,2017,985651,0,45229.2452947032,3.75,0.59,80.99,43753.37358
Hungary,2014,30234,0,24161.4255236519,7.72,0.67,75.76,18429.63736
Hungary,2015,30693,0,25034.4507306605,6.81,0.75,75.57,17933.63193
Hungary,2016,26615,0,25664.136004531,5.11,0.65,76.06,18759.02566
Hungary,2017,49100,0,26777.5607913953,4.16,0.81,75.82,20018.48293
Iceland,2014,3756,0,41701.1372653816,4.9,1.25,82.86,49471.50415
Iceland,2015,5446,0,43048.1251452787,3.98,1.31,82.47,53261.71745
Iceland,2016,8424,0,45630.9381699818,2.98,1.36,82.2,58131.14953
Iceland,2017,15768,0,46482.9582874747,2.74,1.35,82.66,64415.10845
Ireland,2014,12100,0,48898.3286615603,11.86,1.05,81.35,41220.09006
Ireland,2015,21200,0,60818.0462398536,9.91,0.91,81.45,42047.99133
Ireland,2016,25500,0.04136819361811064,63227.2079765883,8.37,0.85,81.7,42461.02999
Ireland,2017,25300,0,67335.2934089652,6.71,1,82.16,42099.47345
Israel,2014,48094,20.438063688314887,31702.0835366295,5.89,-1.04,82.15,29829.27705
Israel,2015,55646,0.4055771411929088,32024.3527705394,5.25,-1.09,82.05,30688.72908
Israel,2016,51776,0.30715373817912883,32688.4081041526,4.8,-0.79,82.41,31774.22124
Israel,2017,52540,0.23465789462191106,33132.3203044888,4.22,-0.89,82.55,32644.03472
Italy,2014,398128,0.003289458907423361,33945.8438783585,12.68,0.46,83.09,33358.90044
Italy,2015,408358,0,34302.0374026544,11.9,0.38,82.54,33635.83832
Italy,2016,521975,0.0016477289031604063,34655.2627627333,11.69,0.37,83.24,33873.35478
Italy,2017,519480,0,35220.0837894122,11.21,0.31,82.95,33550.01725
Japan,2014,247141,0,37337.3174057788,3.6,0.97,83.59,35273.59422
Japan,2015,335122,0.018599021163035776,37882.980624441,3.4,1.07,83.79,35236.49991
Japan,2016,387973,0.017865333011324695,38282.5046733349,3.1,0.98,83.98,35871.05389
Japan,2017,431335,0.0031161564709160957,39002.2233247384,2.8,1.11,84.1,36053.90816
Latvia,2014,6795,0,22172.2535081352,10.85,0.49,74.12,20429.45208
Latvia,2015,5682,0,23018.8161056707,9.87,0.44,74.48,22295.31473
Latvia,2016,407,0,23743.2578198778,9.64,0.48,74.58,23591.68628
Latvia,2017,7354,0,25063.8455453213,8.72,0.46,74.63,24633.97485
Luxembourg,2014,23104,0,93655.3341630648,5.85,1.38,82.23,56609.96847
Luxembourg,2015,24314,0,94088.5922250508,6.67,1.44,82.29,57450.87623
Luxembourg,2016,20414,0,94920.9587222948,6.29,1.42,82.69,57363.26811
Luxembourg,2017,23204,0,94277.9653571589,5.52,1.33,82.1,58642.98768
Mexico,2014,86962,0,16622.5970457658,4.81,-0.85,74.91,14265.45614
Mexico,2015,68812,0,16938.6054057995,4.31,-0.8,74.9,14445.79069
Mexico,2016,71811,0,17206.6343224392,3.86,-0.63,74.92,14360.7274
Mexico,2017,65554,0,17336.469071694,3.42,-0.72,74.95,14338.05693
Netherlands,2014,111756,1.1039842751496398,45668.4414721322,7.42,1.05,81.71,48292.06286
Netherlands,2015,148449,0,46494.3642578078,6.87,0.93,81.51,48854.40395
Netherlands,2016,184394,0.01767520384251098,47269.6329521216,6.01,0.91,81.56,49067.11955
Netherlands,2017,174826,0,48472.5445411531,4.84,0.92,81.76,48624.07868
New Zealand,2014,117243,0,34455.3312172237,14.59,1.47,77.25,39419.08318
New Zealand,2015,139306,0.022737280985325986,35309.8237244851,14.13,1.53,77.24,40255.73092
New Zealand,2016,144813,0,35776.5717269995,13.68,1.52,76.96,41765.00281
New Zealand,2017,142244,0,36085.8427771972,13.25,1.59,77.15,41953.58622
Norway,2014,76096,0,63419.314778542,2.92,1.54,71.2,45166.64793
Norway,2015,63233,0,64008.2868303461,2.89,-1.15,71.48,45384.7518
Norway,2016,55381,0,64159.544250136,2.85,-0.68,71.71,44684.28294
Norway,2017,46161,0,64800.0573263061,2.78,-0.5,71.91,44866.78782
Poland,2014,76915,0,24347.0736576846,8.99,0.84,77.6,21534.30506
Poland,2015,227146,0,25299.9743484897,7.5,0.87,77.45,22006.25163
Poland,2016,213349,0,26035.8379036022,6.16,0.51,77.85,23101.16926
Poland,2017,255305,0,27216.4448774425,4.89,0.52,77.75,24081.58181
Portugal,2014,66364,0,26023.6978492184,13.89,0.81,81.12,22570.46748
Portugal,2015,70916,0,26607.8331233896,12.44,0.92,81.12,22523.51002
Portugal,2016,86782,0,27124.155038865,11.07,0.97,81.12,22561.3099
Portugal,2017,113855,0,27936.8960928735,8.87,1.12,81.42,22506.96213
Slovenia,2014,33203,0,28417.656441512,13.18,1.04,76.81,34282.48437
Slovenia,2015,34850,0,29037.7416756681,11.48,0.87,76.56,34933.64773
Slovenia,2016,34568,0,29930.037038675,9.67,0.72,77.17,36153.4369
Slovenia,2017,48650,0,31400.8395120955,8.13,0.91,77.17,36883.00552
Spain,2014,-111195,0,31195.4052422035,24.44,0.24,83.23,35064.01294
Spain,2015,81119,0,32291.1551993266,22.06,0.25,82.83,35677.98864
Spain,2016,228820,0,33320.3727243715,19.64,0.41,83.33,35475.7088
Spain,2017,348179,0,34272.3603838191,17.22,0.28,83.28,34775.19292
Sweden,2014,159302,0,44167.6318669891,7.95,1.07,82.25,37775.23634
Sweden,2015,164910,0.04060020087649665,45679.2779973863,7.43,0.95,82.2,38411.85919
Sweden,2016,238893,0.010051003280203561,46568.1771455909,6.99,1.02,82.31,38924.79741
Sweden,2017,203013,0,46949.2830858792,6.72,0.98,82.41,39148.86644
Switzerland,2014,163930,0,57218.0279263612,4.83,1.4,83.2,57213.24063
Switzerland,2015,151632,0,57264.1573970635,4.8,1.34,82.9,57158.32708
Switzerland,2016,128616,0,57421.5485009872,4.92,1.31,83.6,57016.90881
Switzerland,2017,114979,0,57410.1658575199,4.8,1.26,83.55,56870.89663
Turkey,2016,367698,3.199713610032052,23756.4842864984,10.84,-2.01,76.86,
Turkey,2017,436347,3.6864490193433337,25129.3406487777,10.82,-1.79,77.16,
United Kingdom,2014,657000,0.01069199028526708,38251.7924802929,2.21,0.77,77.1,38966.25867
United Kingdom,2015,633000,0.004554006118598926,38839.1669568199,1.91,0.76,77.29,39271.90521
United Kingdom,2016,500000,0.013582238349905582,39309.3270821404,1.64,0.56,77.47,39574.57825
United Kingdom,2017,570000,0,39753.2438934915,2.46,0.62,77.65,39684.90411
United States,2014,2032187,0.024802260694692612,51921.9846391384,2.21,0.77,77.1,53949.9951
United States,2015,2101227,0.020887415701802088,53005.6361464627,1.91,0.76,77.29,55274.60275
United States,2016,2366077,0.021060971997951348,53399.3591673623,1.64,0.56,77.47,55316.28037
United States,2017,2253444,0.002724537345105377,54225.4461231621,2.46,0.62,77.65,55827.418
Australia,2018,373216,,,5.3,0.98,82.75,47480.97812
Korea,2014,273076,,,3.492,0.655,27.22,31435.77617
Korea,2015,143858,,,3.592,1.235,35.68,31994.7116
Korea,2016,154483,,,3.675,1.275,35.82,33076.89881
Korea,2017,207905,,,3.683,1.51,36.015,33685.96001
Slovak Republic,2014,4698,,,13.18,1.04,76.81,20034.67173
Slovak Republic,2015,7478,,,11.48,0.87,76.56,20776.13716
Slovak Republic,2016,6966,,,9.67,0.72,77.17,21407.21739
Slovak Republic,2017,5760,,,8.13,0.91,77.17,22000.35941
Slovak Republic,2018,5674,,,6.54,0.75,77.17,22567.44724
